t util pw mem
424.1 100 328.08 48320
425.2 100 337.78 48320
426.3 99 342.83 48320
427.4 99 343.24 48320
428.5 93 221.05 48320
429.6 100 329.02 48320
430.7 99 337.47 48320
431.8 99 342.93 48320
432.8 99 343.35 48320
433.9 96 224.67 48320
435.0 100 328.50 48320
436.1 100 339.30 48320
437.2 100 344.09 48320
438.3 99 327.57 48320
439.4 96 221.66 48320
440.4 100 330.11 48320
441.5 100 339.14 48320
442.6 100 343.90 48320
443.7 99 327.61 48320
444.8 96 241.35 48320
445.9 100 330.12 48320
446.9 99 337.38 48320
448.0 100 342.39 48320
449.1 99 325.58 48320
450.2 96 229.53 48320
451.2 100 331.16 48320
452.4 100 339.34 48320
453.5 100 343.66 48320
454.5 99 324.81 48320
455.6 96 244.18 48320
456.7 100 329.74 48320
457.7 100 338.05 48320
458.8 100 343.20 48320
459.9 99 323.36 48320
461.0 95 242.84 48320
462.1 100 330.19 48320
463.1 100 337.23 48320
464.2 99 343.28 48320
465.3 98 321.96 48320
466.4 96 242.85 48320
467.4 100 328.27 48320
468.5 99 339.39 48320
469.6 100 344.34 48320
470.7 99 323.87 48320
471.8 95 244.02 48320
472.9 100 329.50 48320
474.0 99 337.84 48320
475.1 100 343.06 48320
476.2 99 305.43 48320
477.3 95 261.36 48320
478.4 100 328.55 48320
479.4 100 339.28 48320
480.6 100 344.82 48320
481.6 2 302.21 48320
482.7 96 259.92 48320
483.8 100 329.52 48320
484.9 100 341.46 48320
486.0 99 342.64 48320
487.0 6 302.27 48320
488.1 96 256.37 48320
489.2 100 329.70 48320
490.3 100 337.68 48320
491.4 99 344.54 48320
492.5 0 290.89 48320
493.5 96 256.98 48320
494.6 100 329.12 48320
495.7 100 339.24 48320
496.8 100 344.02 48320
497.9 0 290.95 48320
499.0 95 274.94 48320
500.1 95 326.74 48320
501.2 100 343.46 48320
502.3 100 342.89 48320
503.3 0 289.92 48320
504.4 95 276.01 48320
505.5 97 328.66 48320
506.6 99 343.82 48320
507.7 100 342.85 48320
508.8 0 269.12 48320
509.9 95 281.42 48320
511.0 96 329.69 48320
512.1 99 343.03 48320
513.2 99 343.96 48320
514.3 0 274.30 48320
515.3 95 283.16 48320
516.4 97 333.02 48320
517.5 99 343.11 48320
518.6 99 344.06 48320
519.7 0 274.47 48320
520.8 95 268.45 48320
SUMMARY n 480 streaks 12 [(28.4, 1.0, '291.47'), (179.4, 1.0, '288.24'), (184.8, 1.0, '288.59'), (341.3, 1.0, '289.10'), (346.8, 1.0, '290.42'), (352.2, 1.0, '275.24'), (492.5, 1.0, '290.89'), (497.9, 1.0, '290.95'), (503.3, 1.0, '289.92'), (508.8, 1.0, '269.12'), (514.3, 1.0, '274.30'), (519.7, 1.0, '274.47')] per_min 1.38 dur_s 521.8
